,source,author,title,description,url,urlToImage,publishedAt,content
10,"{'id': 'the-next-web', 'name': 'The Next Web'}",Satoshi Nakaboto,Satoshi Nakaboto: ‘Daily value transfer on Ethereum now on par with Bitcoin’,"Our robot colleague Satoshi Nakaboto writes about Bitcoin every fucking day. Welcome to another edition of Bitcoin Today, where I, Satoshi Nakaboto, tell you what’s been going on with Bitcoin in the past 24 hours. As Satoshi Nakamoto used to say: Your imagina…",https://thenextweb.com/hardfork/2020/04/16/satoshi-nakaboto-daily-value-transfer-on-ethereum-now-on-par-with-bitcoin/,https://img-cdn.tnwcdn.com/image/hardfork?filter_last=1&fit=1280%2C640&url=https%3A%2F%2Fcdn0.tnwcdn.com%2Fwp-content%2Fblogs.dir%2F1%2Ffiles%2F2019%2F08%2Fbitcoin_today-header_bitcoin_today.jpg&signature=30221b6a68049cc6bc3b58f3ddb38864,2020-04-16T10:20:33Z,"Our robot colleague Satoshi Nakaboto writes about Bitcoin BTC every fucking day.
Welcome to another edition of Bitcoin Today, where I, Satoshi Nakaboto, tell you whats been going on with Bitcoin in the past 24 hours. As Satoshi Nakamoto used to say: Your ima… [+2958 chars]"
11,"{'id': 'the-next-web', 'name': 'The Next Web'}",Satoshi Nakaboto,"Satoshi Nakaboto: ‘Not Bitcoin, but oil fell to $0’","Our robot colleague Satoshi Nakaboto writes about Bitcoin every fucking day. Welcome to another edition of Bitcoin Today, where I, Satoshi Nakaboto, tell you what’s been going on with Bitcoin in the past 24 hours. As Plato used to say: Whip it, whip it, whip …",https://thenextweb.com/hardfork/2020/04/21/satoshi-nakaboto-not-bitcoin-but-oil-fell-to-0/,https://img-cdn.tnwcdn.com/image/hardfork?filter_last=1&fit=1280%2C640&url=https%3A%2F%2Fcdn0.tnwcdn.com%2Fwp-content%2Fblogs.dir%2F1%2Ffiles%2F2019%2F08%2Fbitcoin_today-header_bitcoin_today.jpg&signature=30221b6a68049cc6bc3b58f3ddb38864,2020-04-21T09:38:15Z,"Our robot colleague Satoshi Nakaboto writes about Bitcoin BTC every fucking day.
Welcome to another edition of Bitcoin Today, where I, Satoshi Nakaboto, tell you whats been going on with Bitcoin in the past 24 hours. As Plato used to say: Whip it, whip it, w… [+3041 chars]"
12,"{'id': 'the-next-web', 'name': 'The Next Web'}",Satoshi Nakaboto,"Satoshi Nakaboto: ‘$1,200 Bitcoin purchases hit crypto exchanges, equivalent of stimulus’","Our robot colleague Satoshi Nakaboto writes about Bitcoin every fucking day. Welcome to another edition of Bitcoin Today, where I, Satoshi Nakaboto, tell you what’s been going on with Bitcoin in the past 24 hours. As Machiavelli used to say: Let’s add the mil…",https://thenextweb.com/hardfork/2020/04/23/satoshi-nakaboto-1200-bitcoin-purchases-hit-crypto-exchanges-equivalent-of-stimulus/,https://img-cdn.tnwcdn.com/image/hardfork?filter_last=1&fit=1280%2C640&url=https%3A%2F%2Fcdn0.tnwcdn.com%2Fwp-content%2Fblogs.dir%2F1%2Ffiles%2F2019%2F08%2Fbitcoin_today-header_bitcoin_today.jpg&signature=30221b6a68049cc6bc3b58f3ddb38864,2020-04-23T09:33:22Z,"Our robot colleague Satoshi Nakaboto writes about Bitcoin BTC every fucking day.
Welcome to another edition of Bitcoin Today, where I, Satoshi Nakaboto, tell you whats been going on with Bitcoin in the past 24 hours. As Machiavelli used to say: Lets add the … [+3166 chars]"
13,"{'id': 'the-next-web', 'name': 'The Next Web'}",Satoshi Nakaboto,Satoshi Nakaboto: ‘Prominent hedge fund starts trading Bitcoin futures’,"Our robot colleague Satoshi Nakaboto writes about Bitcoin every fucking day. Welcome to another edition of Bitcoin Today, where I, Satoshi Nakaboto, tell you what’s been going on with Bitcoin in the past 24 hours. As Planck used to say: Bob’s your uncle! Bitc…",https://thenextweb.com/hardfork/2020/04/20/satoshi-nakaboto-prominent-hedge-fund-starts-trading-bitcoin-futures/,https://img-cdn.tnwcdn.com/image/hardfork?filter_last=1&fit=1280%2C640&url=https%3A%2F%2Fcdn0.tnwcdn.com%2Fwp-content%2Fblogs.dir%2F1%2Ffiles%2F2019%2F08%2Fbitcoin_today-header_bitcoin_today.jpg&signature=30221b6a68049cc6bc3b58f3ddb38864,2020-04-20T09:29:06Z,"Our robot colleague Satoshi Nakaboto writes about Bitcoin BTC every fucking day.
Welcome to another edition of Bitcoin Today, where I, Satoshi Nakaboto, tell you whats been going on with Bitcoin in the past 24 hours. As Planck used to say: Bobs your uncle!
… [+2854 chars]"
14,"{'id': 'the-next-web', 'name': 'The Next Web'}",Satoshi Nakaboto,Satoshi Nakaboto: ‘Bitcoin is now worth as much as PayPal’,"Our robot colleague Satoshi Nakaboto writes about Bitcoin every fucking day. Welcome to another edition of Bitcoin Today, where I, Satoshi Nakaboto, tell you what’s been going on with Bitcoin in the past 24 hours. As Stephen Hawking used to say: Your heart mu…",https://thenextweb.com/hardfork/2020/03/30/satoshi-nakaboto-bitcoin-is-now-worth-as-much-as-paypal/,https://img-cdn.tnwcdn.com/image/hardfork?filter_last=1&fit=1280%2C640&url=https%3A%2F%2Fcdn0.tnwcdn.com%2Fwp-content%2Fblogs.dir%2F1%2Ffiles%2F2019%2F08%2Fbitcoin_today-header_bitcoin_today.jpg&signature=30221b6a68049cc6bc3b58f3ddb38864,2020-03-30T10:25:24Z,"Our robot colleague Satoshi Nakaboto writes about Bitcoin BTC every fucking day.
Welcome to another edition of Bitcoin Today, where I, Satoshi Nakaboto, tell you whats been going on with Bitcoin in the past 24 hours. As Stephen Hawking used to say: Your hear… [+2916 chars]"
15,"{'id': 'the-next-web', 'name': 'The Next Web'}",Satoshi Nakaboto,Satoshi Nakaboto: ‘Bitcoin loses top position on CoinMarketCap index’,"Our robot colleague Satoshi Nakaboto writes about Bitcoin every fucking day. Welcome to another edition of Bitcoin Today, where I, Satoshi Nakaboto, tell you what’s been going on with Bitcoin in the past 24 hours. As Hannah Arendt used to say: I got the horse…",https://thenextweb.com/hardfork/2020/04/01/satoshi-nakaboto-bitcoin-loses-top-position-on-coinmarketcap-index/,https://img-cdn.tnwcdn.com/image/hardfork?filter_last=1&fit=1280%2C640&url=https%3A%2F%2Fcdn0.tnwcdn.com%2Fwp-content%2Fblogs.dir%2F1%2Ffiles%2F2019%2F08%2Fbitcoin_today-header_bitcoin_today.jpg&signature=30221b6a68049cc6bc3b58f3ddb38864,2020-04-01T10:36:37Z,"Our robot colleague Satoshi Nakaboto writes about Bitcoin BTC every fucking day.
Welcome to another edition of Bitcoin Today, where I, Satoshi Nakaboto, tell you whats been going on with Bitcoin in the past 24 hours. As Hannah Arendt used to say: I got the h… [+2887 chars]"
16,"{'id': 'the-next-web', 'name': 'The Next Web'}",Satoshi Nakaboto,"Satoshi Nakaboto: ‘Bitcoin will go to $0 or $1M, says ex-Facebook exec’","Our robot colleague Satoshi Nakaboto writes about Bitcoin every fucking day. Welcome to another edition of Bitcoin Today, where I, Satoshi Nakaboto, tell you what’s been going on with Bitcoin in the past 24 hours. As Bentham used to say: Bob’s your uncle! Bit…",https://thenextweb.com/hardfork/2020/04/09/satoshi-nakaboto-bitcoin-will-go-to-0-or-1m-says-ex-facebook-exec/,https://img-cdn.tnwcdn.com/image/hardfork?filter_last=1&fit=1280%2C640&url=https%3A%2F%2Fcdn0.tnwcdn.com%2Fwp-content%2Fblogs.dir%2F1%2Ffiles%2F2019%2F08%2Fbitcoin_today-header_bitcoin_today.jpg&signature=30221b6a68049cc6bc3b58f3ddb38864,2020-04-09T09:31:40Z,"Our robot colleague Satoshi Nakaboto writes about Bitcoin BTC every fucking day.
Welcome to another edition of Bitcoin Today, where I, Satoshi Nakaboto, tell you whats been going on with Bitcoin in the past 24 hours. As Bentham used to say: Bobs your uncle!… [+2771 chars]"
17,"{'id': 'the-next-web', 'name': 'The Next Web'}",Satoshi Nakaboto,Satoshi Nakaboto: ‘Bitcoin halving search interest reaches all-time high’,"Our robot colleague Satoshi Nakaboto writes about Bitcoin every fucking day. Welcome to another edition of Bitcoin Today, where I, Satoshi Nakaboto, tell you what’s been going on with Bitcoin in the past 24 hours. As Nietzsche used to say: Success is just a p…",https://thenextweb.com/hardfork/2020/04/14/satoshi-nakaboto-bitcoin-halving-search-interest-reaches-all-time-high/,https://img-cdn.tnwcdn.com/image/hardfork?filter_last=1&fit=1280%2C640&url=https%3A%2F%2Fcdn0.tnwcdn.com%2Fwp-content%2Fblogs.dir%2F1%2Ffiles%2F2019%2F08%2Fbitcoin_today-header_bitcoin_today.jpg&signature=30221b6a68049cc6bc3b58f3ddb38864,2020-04-14T09:38:20Z,"Our robot colleague Satoshi Nakaboto writes about Bitcoin BTC every fucking day.
Welcome to another edition of Bitcoin Today, where I, Satoshi Nakaboto, tell you whats been going on with Bitcoin in the past 24 hours. As Nietzsche used to say: Success is just… [+3059 chars]"
18,"{'id': 'business-insider', 'name': 'Business Insider'}",Carmen Reinicke,Former hedge-fund titan Mike Novogratz says now's the time to buy bitcoin — even though it's down more than 30% over 2 months,"Former hedge-fund titan Mike Novogratz said that now is the time for bitcoin during a Monday interview with Bloomberg TV. ""In the last year it has become a macro weapon, and investment choice,"" he said, adding that in the last month he's seen ""hedge funds and…",https://markets.businessinsider.com/currencies/news/bitcoin-mike-novogratz-buy-now-coronavirus-pandemic-adoption-us-markets-2020-4-1029086695,https://images.markets.businessinsider.com/image/5daddebdcc4a0a050179d67a-2400/2015-05-06t120000z2018718607gf10000086141rtrmadp3usa-business.jpg,2020-04-13T18:41:40Z,"REUTERS/Rick Wilking
<ul><li>Former hedge-fund titan Mike Novogratz said that now is the time for bitcoin during a Monday interview with Bloomberg TV.</li><li>""In the last year it has become a macro weapon, and investment choice,"" he said, adding that in the… [+2071 chars]"
19,"{'id': 'the-next-web', 'name': 'The Next Web'}",David Canellis,So you received the Bitcoin ‘masturbation vid’ email — here’s what to do,"Welcome to Hard Fork Basics, a collection of informative guides to keep you up to date with the personal finance and investment world. This one is Bitcoin-themed. There’s a “sextortion” email scam going around that demands Bitcoin to keep steamy videos of you…",https://thenextweb.com/hardfork/2020/04/20/so-you-received-the-bitcoin-masturbation-vid-email-heres-what-to-do/,https://img-cdn.tnwcdn.com/image/hardfork?filter_last=1&fit=1280%2C640&url=https%3A%2F%2Fcdn0.tnwcdn.com%2Fwp-content%2Fblogs.dir%2F1%2Ffiles%2F2020%2F04%2Fbitcoinmast.jpg&signature=5e316d277a267fd4b0b3df9e3525c1ce,2020-04-20T16:12:20Z,"Welcome to Hard Fork Basics, a collection of informative guides to keep you up to date with the personal finance and investment world. This one is Bitcoin-themed.
Theres a sextortion email scam going around that demands Bitcoin BTC to keep steamy videos of y… [+3037 chars]"
