Time,price,volume,label
2020-03-26 10:00:00 UTC,6658.380236,6848651.325,6670.001043
2020-03-26 11:00:00 UTC,6670.001043,8032319.481,6648.183871
2020-03-26 12:00:00 UTC,6648.183871,11013062.07,6643.509481
2020-03-26 13:00:00 UTC,6643.509481,34041148.48,6655.465248
2020-03-26 14:00:00 UTC,6655.465248,12678794.87,6637.830884
2020-03-26 15:00:00 UTC,6637.830884,12534586.71,6666.34048
2020-03-26 16:00:00 UTC,6666.34048,12361622.14,6687.011639
2020-03-26 17:00:00 UTC,6687.011639,11577315.06,6687.306451
2020-03-26 18:00:00 UTC,6687.306451,6203354.4,6701.592865
2020-03-26 19:00:00 UTC,6701.592865,9638100.068,6741.066471
2020-03-26 20:00:00 UTC,6741.066471,20637848.89,6779.544866
2020-03-26 21:00:00 UTC,6779.544866,13175679.17,6740.405283
2020-03-26 22:00:00 UTC,6740.405283,10215092.69,6776.797808
2020-03-26 23:00:00 UTC,6776.797808,14150280.75,6856.740362
2020-03-27 00:00:00 UTC,6856.740362,36730489.84,6843.93433
2020-03-27 01:00:00 UTC,6843.93433,10271312.04,6828.937246
2020-03-27 02:00:00 UTC,6828.937246,12389194.35,6838.289069
2020-03-27 03:00:00 UTC,6838.289069,8738128.408,6833.040941
2020-03-27 04:00:00 UTC,6833.040941,11088008.51,6704.157908
2020-03-27 05:00:00 UTC,6704.157908,29989472.82,6715.17108
2020-03-27 06:00:00 UTC,6715.17108,8725375.837,6748.372195
2020-03-27 07:00:00 UTC,6748.372195,14833483.87,6732.588601
2020-03-27 08:00:00 UTC,6732.588601,10891411.08,6713.256366
2020-03-27 09:00:00 UTC,6713.256366,5302348.498,6683.194382
2020-03-27 10:00:00 UTC,6683.194382,14840218.34,6698.67463
2020-03-27 11:00:00 UTC,6698.67463,12085664.63,6676.795468
2020-03-27 12:00:00 UTC,6676.795468,15215213.79,6643.887481
2020-03-27 13:00:00 UTC,6643.887481,22944587.74,6645.025812
2020-03-27 14:00:00 UTC,6645.025812,12357760.03,6676.534762
2020-03-27 15:00:00 UTC,6676.534762,11246714.99,6658.575073
2020-03-27 16:00:00 UTC,6658.575073,20081943.12,6670.733409
2020-03-27 17:00:00 UTC,6670.733409,11292538.2,6680.17629
2020-03-27 18:00:00 UTC,6680.17629,11833813.44,6705.677003
2020-03-27 19:00:00 UTC,6705.677003,14299467.15,6690.33787
2020-03-27 20:00:00 UTC,6690.33787,8843399.82,6712.471981
2020-03-27 21:00:00 UTC,6712.471981,9535648.35,6699.752693
2020-03-27 22:00:00 UTC,6699.752693,5473692.091,6483.627406
2020-03-27 23:00:00 UTC,6483.627406,66768529.77,6303.649389
2020-03-28 00:00:00 UTC,6303.649389,53449382.46,6312.590334
